Team,#,Pos.,FIFA Popular Name,,Birth Date,Shirt Name,Club,Height,Weight,Age
Belgium,19,MF,DEMBELE Moussa,,7/16/1987,DEMBELE,Tottenham Hotspur FC (ENG),185,82,31
Belgium,20,DF,BOYATA Dedryck,,11/28/1990,BOYATA,Celtic FC (SCO),188,84,28
Belgium,4,DF,KOMPANY Vincent,,4/10/1986,KOMPANY,Manchester City FC (ENG),190,85,33
Belgium,8,MF,FELLAINI Marouane,,11/22/1987,FELLAINI,Manchester United FC (ENG),194,85,31
Belgium,22,MF,CHADLI Nacer,,8/2/1989,CHADLI,West Bromwich Albion FC (ENG),187,85,29
Belgium,5,DF,VERTONGHEN Jan,,4/24/1987,VERTONGHEN,Tottenham Hotspur FC (ENG),189,86,31
Belgium,13,GK,CASTEELS Koen,,6/25/1992,CASTEELS,VfL Wolfsburg (GER),197,86,26
Belgium,12,GK,MIGNOLET Simon,,3/6/1988,MIGNOLET,Liverpool FC (ENG),193,87,31
Belgium,15,DF,MEUNIER Thomas,,9/12/1991,MEUNIER,Paris Saint-Germain FC (FRA),190,88,27
Belgium,1,GK,COURTOIS Thibaut,,5/11/1992,COURTOIS,Chelsea FC (ENG),199,91,26
Belgium,9,FW,LUKAKU Romelu,,5/13/1993,R. LUKAKU,Manchester United FC (ENG),190,94,25
Brazil,18,MF,FRED,,3/5/1993,FRED,FC Shakhtar Donetsk (UKR),169,64,26
Brazil,21,FW,TAISON,,1/13/1988,TAISON,FC Shakhtar Donetsk (UKR),172,64,31
Brazil,17,MF,FERNANDINHO,,5/4/1985,FERNANDINHO,Manchester City FC (ENG),179,67,33
Brazil,22,DF,FAGNER,,6/11/1989,FAGNER,SC Corinthians (BRA),168,67,29
Brazil,10,FW,NEYMAR,,2/5/1992,NEYMAR JR,Paris Saint-Germain FC (FRA),175,68,27
Brazil,11,MF,PHILIPPE COUTINHO,,6/12/1992,P. COUTINHO,FC Barcelona (ESP),172,68,26
Brazil,7,FW,DOUGLAS COSTA,,9/14/1990,D. COSTA,Juventus FC (ITA),182,70,28
Brazil,6,DF,FILIPE LUIS,,8/9/1985,FILIPE LUIS,Atletico Madrid (ESP),182,73,33
Brazil,9,FW,GABRIEL JESUS,,4/3/1997,G. JESUS,Manchester City FC (ENG),175,73,22
Brazil,13,DF,MARQUINHOS,,5/14/1994,MARQUINHOS,Paris Saint-Germain FC (FRA),183,75,24
Brazil,20,FW,ROBERTO FIRMINO,,10/2/1991,FIRMINO,Liverpool FC (ENG),181,76,27
Brazil,19,MF,WILLIAN,,8/9/1988,WILLIAN,Chelsea FC (ENG),175,77,30
Brazil,3,DF,MIRANDA,,9/7/1984,MIRANDA,FC Internazionale (ITA),186,78,34
Brazil,14,DF,DANILO,,7/15/1991,DANILO,Manchester City FC (ENG),184,78,27
Brazil,2,DF,THIAGO SILVA,,9/22/1984,T. SILVA,Paris Saint-Germain FC (FRA),183,79,34
Brazil,12,DF,MARCELO,,5/12/1988,MARCELO,Real Madrid CF (ESP),174,80,30
Brazil,15,MF,PAULINHO,,7/25/1988,PAULINHO,FC Barcelona (ESP),181,81,30
Brazil,4,DF,PEDRO GEROMEL,,9/21/1985,GEROMEL,Grêmio FBPA (BRA),190,84,33
Brazil,5,MF,CASEMIRO,,2/23/1992,CASEMIRO,Real Madrid CF (ESP),185,84,27
Brazil,8,MF,RENATO AUGUSTO,,2/8/1988,R. AUGUSTO,Beijing Guoan (CHN),186,86,31
Brazil,23,GK,EDERSON,,8/17/1993,EDERSON,Manchester City FC (ENG),188,86,25
Brazil,1,GK,ALISSON,,10/2/1992,A. BECKER,AS Roma (ITA),193,91,26
Brazil,16,GK,CASSIO,,6/6/1987,CASSIO,SC Corinthians (BRA),195,92,31
Colombia,20,MF,QUINTERO Juan,,1/18/1993,J. QUINTERO,CA River Plate (ARG),169,64,26
Colombia,17,DF,MOJICA Johan,,8/21/1992,J. MOJICA,Girona FC (ESP),185,66,26
Colombia,16,MF,LERMA Jefferson,,10/25/1994,J. LERMA,Levante UD (ESP),179,70,24
Colombia,4,DF,ARIAS Santiago,,1/13/1992,ARIAS,PSV Eindhoven (NED),177,71,27
Colombia,15,MF,URIBE Mateus,,3/21/1991,M. URIBE,Club América (MEX),182,71,28
Colombia,9,FW,FALCAO Radamel,,2/10/1986,FALCAO,AS Monaco (FRA),177,72,33
Colombia,11,MF,CUADRADO Juan,,5/26/1988,CUADRADO,Juventus FC (ITA),179,72,30
Colombia,18,DF,FABRA Frank,,2/22/1991,FABRA,CA Boca Juniors (ARG),172,72,28
Colombia,21,FW,IZQUIERDO Jose,,7/7/1992,IZQUIERDO,Brighton & Hove Albion FC (ENG),171,73,26
Colombia,5,MF,BARRIOS  Wilmar,,10/16/1993,BARRIOS,CA Boca Juniors (ARG),178,74,25
Colombia,19,FW,BORJA Miguel,,1/26/1993,M. BORJA,SE Palmeiras (BRA),183,74,26
Colombia,10,MF,RODRIGUEZ James,,7/12/1991,JAMES,FC Bayern München (GER),180,75,27
Colombia,7,FW,BACCA Carlos,,9/8/1986,BACCA,Villarreal CF (ESP),181,77,32
Colombia,14,FW,MURIEL Luis,,4/16/1991,L. MURIEL,Sevilla FC (ESP),178,79,27
Colombia,1,GK,OSPINA David,,8/31/1988,OSPINA,Arsenal FC (ENG),183,80,30
Colombia,3,DF,MURILLO Oscar,,4/18/1988,O. MURILLO,CF Pachuca (MEX),184,80,30
Colombia,12,GK,VARGAS Camilo,,3/9/1989,C. VARGAS,AC Deportivo Cali (COL),185,80,30
Colombia,22,GK,CUADRADO Jose,,6/1/1985,J.F. CUADRADO,CD Once Caldas (COL),180,80,33
Colombia,23,DF,SANCHEZ Davinson,,6/12/1996,D. SANCHEZ,Tottenham Hotspur FC (ENG),187,81,22
Colombia,2,DF,ZAPATA Cristian,,9/30/1986,C. ZAPATA,AC Milan (ITA),187,82,32
Colombia,6,MF,SANCHEZ Carlos,,2/6/1986,C. SANCHEZ,RCD Espanyol (ESP),182,82,33
Colombia,8,MF,AGUILAR Abel,,1/6/1985,AGUILAR T.,AC Deportivo Cali (COL),185,82,34
Colombia,13,DF,MINA Yerry,,9/23/1994,Y. MINA,FC Barcelona (ESP),194,95,24
Costa Rica,7,MF,BOLANOS Christian,,5/17/1984,C. BOLAÑOS,Deportivo Saprissa (CRC),178,67,34
Costa Rica,16,DF,GAMBOA Cristian,,10/24/1989,C. GAMBOA,Celtic FC (SCO),175,67,29
Costa Rica,17,MF,TEJEDA Yeltsin,,3/17/1992,Y. TEJEDA,FC Lausanne-Sport (SUI),179,67,27
Costa Rica,4,DF,SMITH Ian,,3/6/1998,I. SMITH,IFK Norrkoping FK (SWE),177,68,21
Costa Rica,8,DF,OVIEDO Bryan,,2/18/1990,B. OVIEDO,Sunderland AFC (ENG),172,70,29
Costa Rica,13,MF,WALLACE Rodney,,6/17/1988,R. WALLACE,New York City FC (USA),180,70,30
Costa Rica,21,FW,URENA Marcos,,3/5/1990,M. UREÑA,Los Angeles FC (USA),181,70,29
Costa Rica,22,DF,MATARRITA Ronald,,7/9/1994,R. MATARRITA,New York City FC (USA),175,70,24
Costa Rica,23,GK,MOREIRA Leonel,,4/2/1990,L. MOREIRA,CS Herediano (CRC),179,70,29
Costa Rica,12,FW,CAMPBELL Joel,,6/26/1992,J. CAMPBELL,Real Betis (ESP),178,71,26
Costa Rica,18,GK,PEMBERTON Patrick,,4/24/1982,P. PEMBERTON,LD Alajuelense (CRC),178,72,36
Costa Rica,10,MF,RUIZ Bryan,,8/18/1985,BRYAN,Sporting CP (POR),187,73,33
Costa Rica,2,DF,ACOSTA Johnny,,7/21/1983,J. ACOSTA,Rionegro Águilas (COL),176,75,35
Costa Rica,9,MF,COLINDRES Daniel,,1/10/1985,D. COLINDRES,Deportivo Saprissa (CRC),180,75,34
Costa Rica,11,FW,VENEGAS Johan,,11/27/1988,J. VENEGAS,Deportivo Saprissa (CRC),183,76,30
Costa Rica,3,DF,GONZALEZ Giancarlo,,2/8/1988,G. GONZALEZ,Bologna FC (ITA),186,78,31
Costa Rica,15,DF,CALVO Francisco,,7/8/1992,F. CALVO,Minnesota United FC (USA),180,78,26
Costa Rica,20,MF,GUZMAN David,,2/18/1990,D. GUZMAN,Portland Timbers (USA),176,78,29
Costa Rica,5,MF,BORGES Celso,,5/27/1988,C. BORGES,Deportivo La Coruña (ESP),187,79,30
Costa Rica,1,GK,NAVAS Keylor,,12/15/1986,K. NAVAS,Real Madrid CF (ESP),185,80,32
Costa Rica,6,DF,DUARTE Oscar,,6/3/1989,O. DUARTE,RCD Espanyol (ESP),186,81,29
Costa Rica,14,MF,AZOFEIFA Randall,,12/30/1984,R. AZOFEIFA,CS Herediano (CRC),182,83,34
Costa Rica,19,DF,WASTON Kendall,,1/1/1988,K. WASTON,Vancouver Whitecaps FC (CAN),196,87,31
Croatia,10,MF,MODRIC Luka,,9/9/1985,MODRIĆ,Real Madrid CF (ESP),172,66,33
Croatia,11,MF,BROZOVIC Marcelo,,11/16/1992,BROZOVIĆ,FC Internazionale (ITA),181,68,26
Croatia,22,DF,PIVARIC Josip,,1/30/1989,PIVARIĆ,FC Dynamo Kyiv (UKR),176,69,30
Croatia,9,FW,KRAMARIC Andrej,,6/19/1991,KRAMARIĆ,TSG 1899 Hoffenheim (GER),177,73,27
Croatia,2,DF,VRSALJKO Sime,,1/10/1992,VRSALJKO,Atletico Madrid (ESP),181,76,27
Croatia,19,MF,BADELJ Milan,,2/25/1989,BADELJ,ACF Fiorentina (ITA),186,76,30
Croatia,21,DF,VIDA Domagoj,,4/29/1989,VIDA,Besiktas JK (TUR),184,76,29
Croatia,3,DF,STRINIC Ivan,,7/17/1987,STRINIĆ,UC Sampdoria (ITA),186,78,31
Croatia,7,MF,RAKITIC Ivan,,3/10/1988,RAKITIĆ,FC Barcelona (ESP),184,78,31
Croatia,8,MF,KOVACIC Mateo,,5/6/1994,KOVAČIĆ,Real Madrid CF (ESP),178,78,24
Croatia,14,MF,BRADARIC Filip,,1/11/1992,BRADARIĆ,HNK Rijeka (CRO),186,78,27
Croatia,18,FW,REBIC Ante,,9/21/1993,REBIĆ,Eintracht Frankfurt (GER),185,78,25
Croatia,4,FW,PERISIC Ivan,,2/2/1989,PERIŠIĆ,FC Internazionale (ITA),186,81,30
Croatia,13,DF,JEDVAJ Tin,,11/28/1995,JEDVAJ,Bayer 04 Leverkusen (GER),184,81,23
Croatia,16,FW,KALINIC Nikola,,1/5/1988,N. KALINIĆ,AC Milan (ITA),187,81,31
Croatia,1,GK,LIVAKOVIC Dominik,,1/9/1995,LIVAKOVIĆ,GNK Dinamo Zagreb (CRO),188,82,24
Croatia,20,FW,PJACA Marko,,5/6/1995,PJACA,FC Schalke 04 (GER),186,83,23
Croatia,5,DF,CORLUKA Vedran,,2/5/1986,ĆORLUKA,FC Lokomotiv Moscow (RUS),192,84,33
Croatia,6,DF,LOVREN Dejan,,7/5/1989,LOVREN,Liverpool FC (ENG),188,84,29
Croatia,23,GK,SUBASIC Danijel,,10/27/1984,SUBAŠIĆ,AS Monaco (FRA),191,84,34
Croatia,17,FW,MANDZUKIC Mario,,5/21/1986,MANDŽUKIĆ,Juventus FC (ITA),190,85,32
Croatia,15,DF,CALETA-CAR Duje,,9/17/1996,ĆALETA-CAR,FC Red Bull Salzburg (AUT),192,89,22
Croatia,12,GK,KALINIC Lovre,,4/3/1990,L. KALINIĆ,KAA Gent (BEL),201,96,29
Denmark,2,MF,KROHN-DEHLI Michael,,6/6/1983,KROHN-DEHLI,Deportivo La Coruña (ESP),171,69,35
Denmark,23,FW,SISTO Pione,,2/4/1995,SISTO,Celta Vigo (ESP),173,69,24
Denmark,11,FW,BRAITHWAITE Martin,,6/5/1991,BRAITHWAITE,FC Girondins Bordeaux (FRA),180,73,27
Denmark,10,MF,ERIKSEN Christian,,2/14/1992,ERIKSEN,Tottenham Hotspur FC (ENG),181,76,27
Denmark,8,MF,DELANEY Thomas,,9/3/1991,DELANEY,SV Werder Bremen (GER),180,78,27
Denmark,7,MF,KVIST William,,2/24/1985,KVIST,FC Kobenhavn (DEN),185,80,34
Denmark,15,FW,FISCHER Viktor,,6/9/1994,FISCHER,FC Kobenhavn (DEN),181,80,24
Denmark,19,MF,SCHONE Lasse,,5/27/1986,SCHÖNE,AFC Ajax (NED),178,80,32
Denmark,14,DF,DALSGAARD Henrik,,7/27/1989,DALSGAARD,Brentford FC (ENG),190,81,29
Denmark,5,DF,KNUDSEN Jonas,,9/16/1992,KNUDSEN,Ipswich Town FC (ENG),187,82,26
Denmark,17,DF,STRYGER LARSEN Jens,,2/21/1991,STRYGER,Udinese Calcio (ITA),182,82,28
Denmark,4,DF,KJAER Simon,,3/26/1989,KJÆR,Sevilla FC (ESP),191,84,30
Denmark,20,FW,POULSEN Yussuf Yurary,,6/15/1994,YURARY,RB Leipzig (GER),193,84,24
Denmark,6,DF,CHRISTENSEN Andreas,,4/10/1996,CHRISTENSEN,Chelsea FC (ENG),192,85,22
Denmark,12,FW,DOLBERG Kasper,,10/6/1997,DOLBERG,AFC Ajax (NED),187,85,21
Denmark,13,DF,JORGENSEN Mathias,,4/23/1990,M. JØRGENSEN,Huddersfield Town FC (ENG),191,85,28
Denmark,18,MF,LERAGER Lukas,,7/12/1993,LERAGER,FC Girondins Bordeaux (FRA),186,85,25
Denmark,22,GK,RONNOW Frederik,,8/4/1992,RØNNOW,Brondby IF (DEN),190,85,26
Denmark,9,FW,JORGENSEN Nicolai,,1/15/1991,N. JØRGENSEN,Feyenoord Rotterdam (NED),194,86,28
Denmark,16,GK,LOSSL Jonas,,2/1/1989,LÖSSL,Huddersfield Town FC (ENG),195,90,30
Denmark,21,FW,CORNELIUS Andreas,,3/16/1993,CORNELIUS,Atalanta Bergamo (ITA),195,91,26
Denmark,1,GK,SCHMEICHEL Kasper,,11/5/1986,SCHMEICHEL,Leicester City FC (ENG),190,92,32
Denmark,3,DF,VESTERGAARD Jannik,,8/3/1992,VESTERGAARD,VfL Borussia Mönchengladbach (GER),200,98,26
Egypt,8,MF,TAREK HAMED,,10/24/1988,TAREK HAMED,Zamalek (EGY),169,67,30
Egypt,4,MF,OMAR GABER,,1/30/1992,O. GABER,Los Angeles FC (USA),175,71,27
Egypt,10,FW,MOHAMED SALAH,,6/15/1992,M SALAH,Liverpool FC (ENG),175,71,26
Egypt,13,DF,MOHAMED ABDELSHAFY,,7/1/1985,ABDELSHAFY,Al Fateh FC (KSA),171,72,33
Egypt,15,DF,MAHMOUD HAMDY,,6/1/1995,M. HAMDY,Zamalek (EGY),173,72,23
Egypt,12,DF,AYMAN ASHRAF,,4/9/1991,A. ASHRAF,Al Ahly SC (EGY),176,73,28
Egypt,17,MF,MOHAMED ELNENY,,7/11/1992,M. ELNENY,Arsenal FC (ENG),181,74,26
Egypt,5,MF,SAM MORSY,,9/10/1991,MORSY,Wigan Athletic FC (ENG),173,75,27
Egypt,19,MF,ABDALLA SAID,,7/13/1985,ABDALLA,Kuopion PS (FIN),176,75,33
Egypt,3,DF,AHMED ELMOHAMADY,,9/9/1987,ELMOHAMADY,Aston Villa FC (ENG),183,76,31
Egypt,7,DF,AHMED FATHI,,11/10/1984,A. FATHI,Al Ahly SC (EGY),176,76,34
Egypt,11,FW,KAHRABA,,4/13/1994,M. KAHRABA,Al-Ittihad FC (KSA),182,76,24
Egypt,14,FW,RAMADAN SOBHY,,1/23/1997,RAMADAN,Stoke City FC (ENG),183,77,22
Egypt,21,MF,TREZEGUET,,10/1/1994,M. TREZEGUET,Kasimpasa SK (TUR),181,77,24
Egypt,22,FW,AMR WARDA,,9/17/1993,WARDA,Atromitos FC (GRE),179,77,25
Egypt,18,FW,SHIKABALA,,3/5/1986,SHIKABALA,Al Raed SC (KSA),183,80,33
Egypt,9,FW,MARWAN MOHSEN,,2/26/1989,MARWAN,Al Ahly SC (EGY),185,81,30
Egypt,20,DF,SAMIR SAAD,,4/1/1989,S. SAMIR,Al Ahly SC (EGY),183,82,30
Egypt,23,GK,MOHAMED ELSHENAWY,,12/18/1988,M. ELSHENAWY,Al Ahly SC (EGY),191,86,30
Egypt,2,DF,ALI GABR,,1/1/1989,ALI GABR,West Bromwich Albion FC (ENG),191,88,30
Egypt,1,GK,ESSAM EL HADARY,,1/15/1973,ELHADARY,Al Taawoun FC (KSA),190,90,46
Egypt,16,GK,SHERIF EKRAMY,,7/10/1983,EKRAMY,Al Ahly SC (EGY),193,93,35
Egypt,6,DF,AHMED HEGAZY,,1/25/1991,A. HEGAZY,West Bromwich Albion FC (ENG),194,95,28
England,7,MF,LINGARD Jesse,,12/15/1992,LINGARD,Manchester United FC (ENG),175,60,26
England,10,FW,STERLING Raheem,,12/8/1994,STERLING,Manchester City FC (ENG),170,70,24
England,22,DF,ALEXANDER-ARNOLD Trent,,10/7/1998,ALEXANDER-ARNOLD,Liverpool FC (ENG),175,70,20
England,1,GK,PICKFORD Jordan,,3/7/1994,PICKFORD,Everton FC (ENG),185,72,25
England,5,DF,STONES John,,5/28/1994,STONES,Manchester City FC (ENG),188,72,24
England,12,DF,TRIPPIER Kieran,,9/19/1990,TRIPPIER,Tottenham Hotspur FC (ENG),178,72,28
England,16,DF,JONES Phil,,2/21/1992,JONES,Manchester United FC (ENG),182,72,27
England,21,MF,LOFTUS-CHEEK Ruben,,1/23/1996,LOFTUS-CHEEK,Chelsea FC (ENG),190,73,23
England,3,DF,ROSE Danny,,7/2/1990,ROSE,Tottenham Hotspur FC (ENG),173,76,28
England,20,MF,ALLI Dele,,4/11/1996,DELE,Tottenham Hotspur FC (ENG),188,76,22
England,23,GK,POPE Nick,,4/19/1992,POPE,Burnley FC (ENG),191,76,26
England,14,FW,WELBECK Danny,,11/26/1990,WELBECK,Arsenal FC (ENG),184,78,28
England,17,DF,DELPH Fabian,,11/21/1989,DELPH,Manchester City FC (ENG),174,78,29
England,18,DF,YOUNG Ashley,,7/9/1985,YOUNG,Manchester United FC (ENG),175,78,33
England,19,FW,RASHFORD Marcus,,10/31/1997,RASHFORD,Manchester United FC (ENG),180,78,21
England,11,FW,VARDY Jamie,,1/11/1987,VARDY,Leicester City FC (ENG),178,80,32
England,8,MF,HENDERSON Jordan,,6/17/1990,HENDERSON,Liverpool FC (ENG),183,82,28
England,2,DF,WALKER Kyle,,5/28/1990,WALKER,Manchester City FC (ENG),178,83,28
England,15,DF,CAHILL Gary,,12/19/1985,CAHILL,Chelsea FC (ENG),191,85,33
England,4,MF,DIER Eric,,1/15/1994,DIER,Tottenham Hotspur FC (ENG),188,90,25
England,13,GK,BUTLAND Jack,,3/10/1993,BUTLAND,Stoke City FC (ENG),196,96,26
England,6,DF,MAGUIRE Harry,,3/5/1993,MAGUIRE,Leicester City FC (ENG),193,98,26
England,9,FW,KANE Harry,,7/28/1993,KANE,Tottenham Hotspur FC (ENG),188,98,25
France,8,FW,LEMAR Thomas,,11/12/1995,LEMAR,AS Monaco (FRA),172,65,23
France,11,FW,DEMBELE Ousmane,,5/15/1997,DEMBELE,FC Barcelona (ESP),178,70,21
France,13,MF,KANTE Ngolo,,3/29/1991,KANTE,Chelsea FC (ENG),168,70,28
France,7,FW,GRIEZMANN Antoine,,3/21/1991,GRIEZMANN,Atletico Madrid (ESP),174,72,28
France,14,MF,MATUIDI Blaise,,4/9/1987,MATUIDI,Juventus FC (ITA),180,74,32
France,2,DF,PAVARD Benjamin,,3/28/1996,PAVARD,VfB Stuttgart (GER),186,76,23
France,18,FW,FEKIR Nabil,,7/18/1993,FEKIR,Olympique Lyon (FRA),173,76,25
France,20,FW,THAUVIN Florian,,1/26/1993,THAUVIN,Olympique Marseille (FRA),180,76,26
France,21,DF,HERNANDEZ Lucas,,2/14/1996,HERNANDEZ,Atletico Madrid (ESP),183,76,23
France,3,DF,KIMPEMBE Presnel,,8/13/1995,KIMPEMBE,Paris Saint-Germain FC (FRA),182,78,23
France,10,FW,MBAPPE Kylian,,12/20/1998,MBAPPE,Paris Saint-Germain FC (FRA),178,78,20
France,4,DF,VARANE Raphael,,4/25/1993,VARANE,Real Madrid CF (ESP),191,79,25
France,19,DF,SIDIBE Djibril,,7/29/1992,SIDIBE,AS Monaco (FRA),184,81,26
France,1,GK,LLORIS Hugo,,12/26/1986,LLORIS,Tottenham Hotspur FC (ENG),188,82,32
France,12,MF,TOLISSO Corentin,,8/3/1994,TOLISSO,FC Bayern München (GER),180,82,24
France,5,DF,UMTITI Samuel,,11/14/1993,UMTITI,FC Barcelona (ESP),183,84,25
France,22,DF,MENDY Benjamin,,7/17/1994,MENDY,Manchester City FC (ENG),183,84,24
France,6,MF,POGBA Paul,,3/15/1993,POGBA,Manchester United FC (ENG),191,86,26
France,15,MF,NZONZI Steven,,12/15/1988,NZONZI,Sevilla FC (ESP),197,87,30
France,16,GK,MANDANDA Steve,,3/28/1985,MANDANDA,Olympique Marseille (FRA),187,88,34
France,17,DF,RAMI Adil,,12/27/1985,RAMI,Olympique Marseille (FRA),190,90,33
France,9,FW,GIROUD Olivier,,9/30/1986,GIROUD,Chelsea FC (ENG),193,91,32
France,23,GK,AREOLA Alphonse,,2/27/1993,AREOLA,Paris Saint-Germain FC (FRA),195,95,26
Germany,11,FW,REUS Marco,,5/31/1989,REUS,Borussia Dortmund (GER),180,67,29
Germany,10,MF,OEZIL Mesut,,10/15/1988,ÖZIL,Arsenal FC (ENG),180,70,30
Germany,18,DF,KIMMICH Joshua,,2/8/1995,KIMMICH,FC Bayern München (GER),176,72,24
